"","carat","cut","color","clarity","depth","table","price","x","y","z"
"4882",0.76,"Ideal","F","VVS2",60.9,57,3716,5.89,5.96,3.61
"3676",0.9,"Very Good","G","SI2",61.1,55,3445,6.21,6.26,3.81
"2604",0.72,"Very Good","F","VS1",63.3,58,3219,5.66,5.71,3.6
"443",0.72,"Premium","E","VS2",58.3,58,2815,5.99,5.92,3.47
"3794",0.71,"Very Good","E","VS1",62.6,59,3464,5.68,5.76,3.58
"2782",0.9,"Very Good","H","SI2",64.1,59,3255,5.97,6.07,3.86
"612",0.71,"Premium","F","VS1",60.5,58,2839,5.75,5.72,3.47
"3068",0.81,"Premium","F","SI1",61.6,58,3311,5.96,5.92,3.66
"3879",1.02,"Very Good","J","SI1",61.9,60,3483,6.37,6.42,3.96
"4922",0.91,"Very Good","F","SI2",61.4,60,3726,6.13,6.16,3.77
"4327",1.01,"Fair","F","SI2",67.3,62,3597,6.09,6.03,4.08
"4652",0.9,"Very Good","G","SI1",63.2,59,3669,6.1,6.05,3.84
"917",0.84,"Ideal","G","SI2",61,56,2879,6.13,6.1,3.73
"4308",0.99,"Fair","H","VS2",71.6,57,3593,5.94,5.8,4.2
"3110",0.74,"Very Good","E","VS2",62.8,58,3323,5.73,5.76,3.61
"4801",0.9,"Fair","H","VS2",64.7,58,3697,5.98,6.01,3.88
"2245",0.7,"Good","E","VS1",61.2,58,3148,5.66,5.72,3.48
"3332",0.91,"Premium","I","VS2",62.4,61,3376,6.18,6.16,3.85
"3117",0.81,"Good","D","SI1",64.1,54,3324,5.92,5.96,3.81
"4633",0.78,"Very Good","D","VS2",62.2,56,3668,5.85,5.91,3.66
"1563",0.92,"Premium","D","SI2",60.2,61,3004,6.32,6.27,3.79
"209",0.73,"Very Good","H","VS2",60.8,56,2779,5.82,5.84,3.55
"3273",1,"Ideal","E","I1",63,57,3360,6.35,6.32,3.99
"3788",0.81,"Very Good","D","SI1",63.1,57,3462,5.91,5.94,3.74
"2225",0.71,"Ideal","E","VS2",60.1,59,3145,5.79,5.83,3.49
"3493",1.01,"Good","J","SI1",62.8,58,3399,6.28,6.33,3.96
"2391",0.32,"Ideal","G","VS2",62,57,561,4.37,4.4,2.72
"2738",0.71,"Ideal","E","VS2",62.5,55,3247,5.67,5.73,3.56
"2094",0.82,"Ideal","I","VS1",61.3,57,3113,6.02,6.07,3.7
"3123",0.78,"Ideal","G","VS2",62.6,57,3325,5.87,5.91,3.69
"3698",1.04,"Very Good","I","SI2",61.6,58,3449,6.47,6.58,4.02
"3358",0.92,"Good","I","SI1",63.3,58,3382,6.14,6.18,3.9
"293",0.51,"Ideal","D","VVS1",61.7,56,2797,5.12,5.16,3.17
"4283",1,"Premium","H","SI2",60,62,3584,6.53,6.51,3.91
"214",0.74,"Ideal","G","VS1",61.5,55,2780,5.81,5.86,3.59
"3543",1.07,"Ideal","H","I1",62.1,55,3412,6.55,6.59,4.08
"4446",0.92,"Very Good","G","SI2",59.4,62,3618,6.34,6.36,3.77
"1283",0.73,"Ideal","F","SI1",61.6,55,2951,5.77,5.81,3.56
"3920",1.02,"Premium","G","SI2",61.8,58,3496,6.47,6.4,3.98
"2415",0.87,"Very Good","H","SI1",62.2,57,3180,6.05,6.11,3.78
"2170",0.74,"Premium","E","VS1",60,57,3133,5.94,5.89,3.55
"1568",0.73,"Ideal","H","VVS1",61.6,57,3005,5.81,5.78,3.57
"1305",0.76,"Ideal","G","VS2",61.7,54,2954,5.88,5.92,3.64
"3299",0.76,"Very Good","H","IF",62.6,57,3367,5.8,5.83,3.64
"171",0.75,"Ideal","D","SI2",61.3,56,2773,5.85,5.89,3.6
"4756",1.12,"Ideal","I","SI2",62.4,57,3688,6.69,6.62,4.15
"4098",0.84,"Very Good","G","VS2",62,56,3535,6.07,6.09,3.77
"2845",0.56,"Ideal","D","VVS1",61.8,56,3270,5.28,5.31,3.27
"2790",0.72,"Ideal","H","IF",61.4,56,3257,5.76,5.8,3.55
"1418",0.52,"Premium","E","VVS2",60.1,58,2970,5.23,5.18,3.13
"2260",0.9,"Good","D","SI2",63.9,60,3153,6.07,6.11,3.89
"559",0.75,"Ideal","E","SI1",61.4,57,2831,5.82,5.87,3.59
"3196",0.71,"Very Good","E","VS2",62.5,58,3344,5.69,5.73,3.57
"3610",1,"Premium","G","SI2",60.7,59,3427,6.45,6.41,3.9
"831",0.71,"Ideal","H","VVS1",60.4,57,2867,5.78,5.81,3.5
"3135",0.74,"Very Good","G","VVS1",63.2,56,3328,5.74,5.72,3.62
"2426",0.95,"Premium","G","SI2",59.8,60,3181,6.36,6.34,3.8
"3894",0.9,"Very Good","I","VS2",63.4,56,3489,6.09,6.12,3.87
"646",0.71,"Very Good","D","SI1",61.5,58,2843,5.73,5.79,3.54
"4915",0.9,"Ideal","I","VS1",61.8,56,3724,6.2,6.23,3.84
"3548",0.91,"Premium","H","SI1",60.9,58,3414,6.26,6.22,3.8
"3533",0.91,"Very Good","H","SI2",58.4,63,3408,6.29,6.24,3.66
"4740",0.3,"Ideal","F","VS2",61.7,58,573,4.28,4.31,2.65
"4763",0.9,"Fair","D","SI1",64.5,61,3689,6.05,6.01,3.89
"4859",0.91,"Very Good","G","SI1",63.5,61,3710,6.1,6.05,3.86
"1580",0.71,"Ideal","G","SI1",61.6,57,3007,5.73,5.76,3.54
"1695",0.92,"Fair","I","VS2",64.4,58,3033,6.13,6.1,3.94
"377",1.2,"Fair","F","I1",64.6,56,2809,6.73,6.66,4.33
"657",0.7,"Very Good","E","VS2",61.8,59,2845,5.65,5.68,3.5
"4496",0.72,"Ideal","D","VS1",62.5,55,3629,5.71,5.74,3.58
"4890",0.9,"Good","I","VVS2",64.8,55,3718,6.04,6.15,3.95
"1683",0.77,"Fair","F","VS1",66.8,57,3031,5.66,5.76,3.82
"1232",0.79,"Very Good","E","SI2",59.2,59,2941,6.04,6.06,3.58
"2270",0.77,"Ideal","G","VS2",61.7,55,3154,5.87,5.9,3.63
"4259",0.9,"Very Good","I","VS1",63.3,59,3580,6.1,6.06,3.85
"3873",0.9,"Very Good","H","SI2",62.3,61,3481,6.15,6.17,3.84
"178",0.72,"Very Good","G","VS2",63.7,56.4,2776,5.62,5.69,3.61
"4568",0.93,"Premium","H","SI1",62.8,58,3646,6.24,6.21,3.91
"4066",0.31,"Premium","D","SI1",61.4,58,571,4.33,4.36,2.67
"2611",1.15,"Premium","H","SI2",60.4,58,3220,6.8,6.75,4.09
"248",1.05,"Very Good","J","SI2",63.2,56,2789,6.49,6.45,4.09
"4682",0.82,"Premium","G","SI1",61.8,58,3674,6.02,5.98,3.71
"4618",0.9,"Premium","I","VS2",60.1,59,3663,6.37,6.25,3.79
"2053",0.32,"Premium","G","VS2",62,58,561,4.33,4.38,2.7
"1816",0.78,"Ideal","G","SI1",61.7,56,3056,5.9,5.93,3.65
"2517",0.7,"Ideal","E","VS2",61.1,59,3201,5.67,5.73,3.48
"566",0.82,"Ideal","H","SI1",62.5,57,2832,5.91,5.97,3.71
"3665",1,"Fair","F","SI2",65.7,61,3443,6.13,6.11,4.02
"4665",0.71,"Very Good","D","VVS2",62.7,59,3670,5.64,5.69,3.55
"2212",1,"Premium","G","SI2",61.5,56,3142,6.49,6.44,3.97
"472",0.7,"Premium","E","VS1",62.7,57,2818,5.68,5.64,3.55
"4469",0.72,"Ideal","D","VS1",61.4,56,3622,5.8,5.82,3.57
"1929",0.72,"Very Good","F","VS1",63.2,57,3083,5.69,5.73,3.61
"4759",0.9,"Very Good","E","SI1",60.7,61,3689,6.17,6.19,3.75
"186",0.71,"Ideal","G","SI1",60.5,56,2776,5.8,5.76,3.5
"3303",0.8,"Premium","F","VS2",62,61,3369,5.99,5.91,3.69
"4925",0.9,"Good","H","SI1",57.1,56,3726,6.33,6.28,3.6
"1139",0.71,"Very Good","D","SI1",60.1,60,2921,5.76,5.79,3.47
"2589",0.71,"Premium","D","VS2",59.2,59,3217,5.8,5.86,3.45
"3816",0.55,"Ideal","D","VVS2",60.8,56,3468,5.31,5.34,3.24
"29",0.23,"Very Good","D","VS2",60.5,61,357,3.96,3.97,2.4
"1415",1.06,"Premium","I","SI2",61.5,57,2968,6.57,6.49,4.02
"4636",1.03,"Very Good","F","SI2",63.1,57,3668,6.42,6.38,4.04
"4510",0.74,"Ideal","E","VVS2",61.9,57,3633,5.79,5.81,3.59
"2861",0.72,"Ideal","H","VS1",61.6,56,3274,5.76,5.79,3.55
"3696",0.7,"Ideal","D","VS2",62.7,57,3448,5.65,5.67,3.55
"2520",0.76,"Ideal","F","VS2",61,55,3201,5.92,5.89,3.6
"3624",0.73,"Ideal","E","VS2",61.6,56,3429,5.8,5.82,3.58
"3041",0.3,"Good","G","VS1",63.3,56,565,4.28,4.31,2.72
"554",0.53,"Ideal","F","VVS1",61.8,57,2830,5.16,5.19,3.2
"616",0.7,"Ideal","G","VS1",61.3,57,2839,5.71,5.74,3.51
"768",0.73,"Ideal","D","SI1",61.5,56,2858,5.84,5.8,3.58
"1738",0.32,"Ideal","G","VS2",61.6,57,561,4.39,4.41,2.71
"350",0.7,"Ideal","D","SI1",61,59,2804,5.68,5.7,3.47
"898",1,"Fair","J","VS1",65.5,55,2875,6.3,6.25,4.11
"2294",0.63,"Ideal","E","VVS1",62.4,56,3161,5.48,5.52,3.43
"1604",0.7,"Ideal","F","VS2",62.7,55,3011,5.66,5.69,3.56
"2266",0.7,"Very Good","E","VS1",63.6,57,3154,5.61,5.65,3.58
"3323",0.81,"Ideal","E","SI1",61.5,56,3373,6.01,6.03,3.7
"2572",0.77,"Premium","F","VS1",59.5,58,3211,5.96,5.94,3.54
"4082",0.78,"Ideal","F","VS2",60.4,58,3531,6,5.95,3.61
"2840",0.9,"Good","G","SI2",58.4,55,3269,6.34,6.39,3.72
"436",0.7,"Ideal","H","SI1",60.4,56,2815,5.75,5.81,3.49
"4311",0.93,"Premium","G","SI2",60.8,59,3594,6.35,6.28,3.84
"2375",0.32,"Ideal","G","VS2",61.5,57,561,4.4,4.41,2.71
"641",0.7,"Premium","F","VS2",58.7,61,2842,5.8,5.72,3.38
"3412",0.38,"Ideal","F","SI2",62,55,568,4.67,4.69,2.9
"3388",0.31,"Premium","I","SI1",61.5,59,408,4.35,4.37,2.68
"1910",0.82,"Premium","F","SI1",61.1,60,3080,6.02,5.96,3.66
"4337",0.9,"Ideal","E","SI2",62,55,3599,6.23,6.15,3.84
"4540",1,"Good","H","SI2",64.1,61,3640,6.36,6.27,4.05
"262",0.87,"Very Good","I","SI1",63.6,55.8,2791,6.07,6.1,3.87
"1759",0.71,"Very Good","F","VS1",62.2,55,3045,5.68,5.74,3.56
"4302",0.7,"Premium","G","IF",62.2,58,3591,5.63,5.69,3.52
"1360",0.9,"Fair","J","VS1",65.4,60,2964,6.02,5.93,3.91
"739",0.31,"Ideal","H","VS1",61.8,54.2,557,4.33,4.37,2.69
"2022",0.9,"Very Good","H","SI2",59.5,63,3105,6.31,6.26,3.74
"77",0.26,"Very Good","E","VVS2",59.9,58,554,4.15,4.23,2.51
"3084",0.95,"Very Good","J","VS2",63.5,56,3314,6.24,6.27,3.97
"2230",0.9,"Fair","H","SI1",66.8,55,3145,5.98,5.9,3.97
"2555",0.93,"Very Good","J","VS2",63.3,61,3208,6.19,6.14,3.9
"1866",0.7,"Ideal","E","VS2",62.6,56,3068,5.65,5.69,3.55
"1112",0.83,"Very Good","I","VS2",62,55,2915,6.03,6.06,3.74
"1836",0.71,"Ideal","G","SI1",61.5,55,3061,5.75,5.79,3.55
"3155",0.93,"Premium","F","SI2",60,60,3333,6.36,6.31,3.8
"2330",0.76,"Very Good","G","VS2",61.1,57,3170,5.84,5.95,3.6
"1570",0.91,"Very Good","G","SI2",62.8,59,3006,6.09,6.14,3.84
"4826",0.9,"Premium","F","SI2",61.5,59,3704,6.23,6.2,3.82
"1267",0.9,"Premium","I","SI2",62.5,58,2948,6.15,6.1,3.83
"2311",0.92,"Premium","H","SI1",60.7,59,3165,6.34,6.25,3.82
"1810",1.01,"Premium","I","SI2",61.9,58,3054,6.45,6.41,3.98
"1068",0.31,"Ideal","I","VS2",59.9,57,558,4.4,4.38,2.63
"2205",1.02,"Premium","H","I1",62.5,60,3141,6.39,6.41,4
"918",0.84,"Ideal","G","SI2",62.3,55,2879,6.08,6.03,3.77
"2157",0.7,"Ideal","D","VS2",61.5,56,3129,5.7,5.74,3.52
"4487",0.9,"Good","E","SI1",60.8,65,3625,6.31,6.18,3.8
"517",0.71,"Premium","D","VS2",61.2,59,2824,5.74,5.69,3.5
"4347",0.72,"Ideal","E","VS2",60.8,56,3601,5.78,5.82,3.53
"2173",0.71,"Ideal","D","VS2",60.4,57,3135,5.77,5.82,3.5
"592",0.7,"Premium","E","VS1",62.6,59,2837,5.69,5.66,3.55
"2218",0.7,"Very Good","E","VS1",62.8,57,3145,5.65,5.68,3.56
"1692",0.7,"Good","D","VS2",64.1,59,3033,5.56,5.49,3.54
"1774",0.75,"Very Good","D","SI1",61.8,57,3048,5.78,5.81,3.58
"4465",0.9,"Good","F","SI2",61.3,59,3621,6.12,6.15,3.76
"2849",0.9,"Very Good","I","SI1",61.4,55,3271,6.19,6.28,3.83
"1809",1.01,"Premium","H","SI2",61.1,60,3054,6.46,6.41,3.93
"2063",0.32,"Premium","E","SI1",60.2,60,561,4.39,4.44,2.66
"960",0.66,"Ideal","G","VVS1",61.5,56,2890,5.61,5.58,3.44
"301",0.77,"Ideal","I","VS1",61.5,59,2798,5.87,5.91,3.62
"1548",0.71,"Premium","D","VS2",62.1,60,3002,5.68,5.72,3.54
"52",0.23,"Ideal","G","VS1",61.9,54,404,3.93,3.95,2.44
"4385",0.31,"Ideal","I","VVS1",62,54,571,4.34,4.37,2.7
"3922",0.91,"Very Good","F","SI2",63.5,56,3496,6.16,6.12,3.89
"2800",0.7,"Ideal","F","VS1",61.5,55,3261,5.73,5.75,3.53
"3265",0.78,"Premium","E","VS1",60.9,57,3360,5.94,5.88,3.59
"3522",0.71,"Ideal","F","VS2",62.2,55,3405,5.72,5.76,3.57
"2130",0.72,"Ideal","H","VS2",61.7,56,3122,5.74,5.77,3.56
"2192",0.79,"Very Good","E","SI1",63.3,56.3,3138,5.85,5.88,3.71
"1091",0.71,"Ideal","G","VS2",60.6,56,2911,5.76,5.8,3.5
"4276",1,"Premium","G","SI2",60.2,58,3584,6.55,6.48,3.92
"3956",1.52,"Fair","H","I1",64.9,58,3504,7.18,7.13,4.65
"1137",0.71,"Very Good","E","VS2",59.9,59,2921,5.77,5.81,3.47
"2821",1,"Fair","F","SI2",65.1,55,3265,6.26,6.23,4.07
"2867",1.01,"Very Good","G","SI2",63.2,58,3275,6.42,6.35,4.04
"4333",0.9,"Premium","E","SI2",62.6,60,3599,6.18,6.09,3.84
"1207",0.76,"Premium","E","SI1",58.3,62,2937,6.12,5.95,3.52
"1457",0.8,"Ideal","E","SI2",61,55,2978,6,6.03,3.67
"306",0.9,"Good","I","SI2",62.2,59,2800,6.07,6.11,3.79
"2807",1.11,"Premium","H","I1",61,59,3263,6.67,6.61,4.05
"2168",0.72,"Ideal","H","VS1",61.6,55,3133,5.76,5.8,3.56
"535",0.78,"Premium","F","SI1",60.8,60,2826,5.97,5.94,3.62
"3831",1,"Premium","H","SI2",61,60,3472,6.42,6.36,3.9
"2210",1,"Fair","G","SI2",64.6,67,3142,6.25,6.19,4.02
"3099",1.02,"Ideal","G","I1",61.5,56,3321,6.46,6.49,3.98
"4661",1.13,"Ideal","H","I1",61.1,56,3669,6.77,6.71,4.12
"3449",0.91,"Very Good","G","SI2",61.8,59,3388,6.17,6.23,3.83
"3144",0.71,"Very Good","F","VVS2",63.6,56,3332,5.65,5.7,3.61
"2514",0.9,"Ideal","E","SI2",62.6,56,3200,6.15,6.06,3.82
"2469",0.75,"Ideal","E","VS2",60.2,57,3192,5.93,5.9,3.56
"1066",0.31,"Ideal","E","SI2",61.3,55,558,4.37,4.34,2.67
"118",0.71,"Ideal","G","VS2",62.4,54,2762,5.72,5.76,3.58
"1647",0.71,"Ideal","F","VVS2",62.6,56,3018,5.7,5.65,3.55
"1394",0.32,"Ideal","E","SI1",61,56,559,4.41,4.45,2.7
"1538",0.9,"Very Good","I","SI2",62.5,58,3001,6.1,6.15,3.83
"674",0.76,"Premium","D","SI1",61.1,59,2847,5.93,5.88,3.61
"1253",0.79,"Ideal","E","SI1",62.3,55,2946,5.9,5.94,3.69
"1620",0.81,"Ideal","E","SI2",60.1,57,3013,6.07,6.1,3.66
"2974",0.62,"Ideal","F","VVS2",61.4,56,3299,5.46,5.5,3.37
"4713",0.31,"Good","D","SI1",63.5,55,571,4.27,4.3,2.72
"453",0.71,"Ideal","I","VVS2",60.2,56,2817,5.84,5.89,3.53
"4473",0.98,"Fair","F","SI1",61.8,66,3622,6.38,6.27,3.91
"3157",0.9,"Very Good","I","VS2",58.4,62,3334,6.29,6.35,3.69
"1878",0.71,"Ideal","E","VS2",62.2,57,3073,5.69,5.73,3.55
"3153",0.6,"Very Good","F","VVS1",61.2,58,3333,5.42,5.46,3.33
"309",0.83,"Ideal","G","SI1",62.3,57,2800,5.99,6.08,3.76
"451",0.83,"Ideal","H","SI1",62.5,55,2816,6.04,6,3.76
"4916",0.9,"Good","E","SI2",62.1,63,3724,6.09,6.12,3.79
"4798",0.77,"Ideal","E","VS1",62,56,3697,5.87,5.9,3.65
"2957",0.82,"Premium","E","SI1",62.5,56,3295,6.01,5.96,3.74
"4230",1.19,"Premium","E","I1",60.2,61,3572,6.91,6.87,4.15
"2438",0.78,"Ideal","G","VS2",61.7,55,3184,5.94,5.89,3.65
"1127",0.8,"Very Good","H","SI1",62.5,56,2919,5.92,5.96,3.71
"780",0.71,"Very Good","F","VS2",61.3,61,2860,5.68,5.73,3.5
"3124",0.96,"Ideal","J","VS2",61.5,57,3326,6.32,6.36,3.9
"4524",1.03,"Ideal","F","I1",61,56,3634,6.58,6.52,3.99
"847",0.62,"Ideal","G","IF",61.8,56,2869,5.43,5.47,3.37
"2901",0.8,"Very Good","F","VS2",63.3,59.8,3283,5.79,5.83,3.68
"3377",0.3,"Ideal","H","SI2",60,56,408,4.41,4.43,2.65
"4380",0.9,"Premium","E","SI1",62.4,57,3609,6.19,6.14,3.85
"2332",0.92,"Ideal","J","SI1",62.3,56,3170,6.24,6.29,3.9
"3651",0.91,"Very Good","E","SI2",60,60,3438,6.23,6.28,3.75
"4463",0.73,"Ideal","E","VS1",61.2,57,3620,5.85,5.8,3.57
"4411",0.91,"Good","G","SI2",63.6,56,3610,6.14,6.09,3.89
"282",0.72,"Premium","I","IF",63,57,2795,5.72,5.7,3.6
"3214",0.9,"Good","H","SI2",61.3,61,3348,6.11,6.16,3.76
"1865",0.7,"Very Good","E","VS1",63.4,60,3068,5.63,5.66,3.58
"1521",0.7,"Ideal","D","VS2",62.8,57,2998,5.69,5.75,3.59
"1163",1.02,"Ideal","I","I1",61.7,56,2925,6.49,6.44,3.99
"950",0.71,"Very Good","F","VS1",62.8,56,2889,5.69,5.72,3.58
"1639",0.71,"Very Good","F","VS1",61.8,60,3017,5.66,5.7,3.51
"3642",0.79,"Good","F","VS1",57.7,58,3436,6.06,6.14,3.52
"1027",0.79,"Very Good","F","SI1",63,54,2904,5.91,5.94,3.73
"2207",0.9,"Premium","J","SI1",60.4,59,3141,6.27,6.24,3.78
"785",0.71,"Premium","D","SI1",60.7,58,2861,5.95,5.78,3.56
"748",0.33,"Ideal","I","SI1",63,57,557,4.39,4.37,2.76
"2787",0.79,"Ideal","E","SI1",61.9,55,3256,5.97,5.89,3.67
"1216",0.77,"Premium","D","SI1",59.5,60,2939,6.01,5.95,3.56
"537",0.7,"Very Good","D","SI1",62.3,59,2827,5.67,5.7,3.54
"225",0.72,"Ideal","D","SI1",60.8,57,2782,5.76,5.75,3.5
"3608",0.72,"Ideal","E","VS2",61.7,55,3427,5.8,5.77,3.57
"2202",0.7,"Ideal","G","VS1",61.2,57,3140,5.7,5.74,3.5
"457",0.71,"Premium","E","SI1",59.2,59,2817,5.86,5.83,3.46
"2187",0.8,"Ideal","F","SI1",61,56,3137,5.98,6.05,3.67
"2091",0.71,"Ideal","E","VS2",61.6,57,3112,5.71,5.79,3.54
"3172",1.01,"Premium","D","SI2",58.9,59,3337,6.54,6.49,3.84
"2720",0.26,"Good","D","VVS2",63.6,56,564,4.06,4.09,2.59
"2196",0.9,"Good","E","SI2",64.1,57,3139,6.07,6.09,3.9
"2789",0.81,"Ideal","H","VS1",61.8,58,3257,5.97,6.04,3.71
"2909",0.71,"Ideal","F","VS1",60.4,57,3284,5.78,5.81,3.5
"4654",1.12,"Premium","I","SI2",61.2,58,3669,6.72,6.68,4.1
"1113",0.77,"Very Good","G","SI1",63.6,57,2915,5.79,5.88,3.71
"4918",0.7,"Very Good","G","IF",63,59,3725,5.58,5.62,3.53
"1003",0.98,"Good","H","SI2",57.9,56,2898,6.51,6.47,3.76
"4865",0.78,"Ideal","E","VS2",61.1,55,3713,5.99,5.96,3.65
"1565",0.55,"Ideal","F","VVS1",61.2,54,3005,5.3,5.35,3.26
"4482",0.92,"Very Good","F","SI2",59.9,60,3625,6.26,6.29,3.76
"4519",1,"Fair","G","SI1",43,59,3634,6.32,6.27,3.97
"838",0.82,"Premium","F","SI2",59.7,57,2867,6.14,6.12,3.66
"1564",0.75,"Very Good","E","SI1",61.1,59,3005,5.85,5.9,3.59
"4236",0.91,"Ideal","I","SI1",62.4,56,3574,6.2,6.24,3.88
"2422",0.91,"Very Good","J","SI2",62,56,3181,6.18,6.23,3.85
"1265",0.73,"Ideal","G","VS1",61.7,55,2948,5.8,5.84,3.59
"3933",1.01,"Very Good","J","SI1",62.9,57,3499,6.35,6.37,4
"4556",0.9,"Very Good","H","SI1",63,58,3643,6.13,6.18,3.88
"2306",0.79,"Ideal","F","SI1",61.3,56,3163,5.96,6.01,3.67
"4436",0.9,"Good","G","SI1",65,57,3615,5.96,6.01,3.89
"3536",0.72,"Ideal","E","SI1",60.5,55,3409,5.8,5.86,3.53
"2034",0.9,"Good","H","SI2",64.1,58,3105,6.05,6.02,3.87
"1431",0.75,"Ideal","G","VS1",62.3,57,2973,5.83,5.86,3.64
"4776",1.03,"Ideal","G","SI2",60.4,56,3692,6.56,6.53,3.95
"3284",0.63,"Ideal","G","IF",61.9,56,3363,5.5,5.52,3.41
"1962",0.77,"Ideal","H","SI1",61.3,56,3089,5.87,5.91,3.61
"807",0.84,"Premium","F","SI2",62.3,59,2863,6.06,6.01,3.76
"1444",0.8,"Ideal","F","SI1",62.8,54,2975,5.9,5.97,3.74
"797",0.7,"Ideal","H","VS2",61.1,57,2862,5.71,5.74,3.5
"1763",0.72,"Premium","D","VS2",60.2,60,3045,5.76,5.81,3.48
"927",0.7,"Very Good","H","IF",62.8,56,2882,5.62,5.65,3.54
"456",0.63,"Ideal","F","VVS2",61.5,56,2817,5.48,5.52,3.38
"278",0.81,"Premium","I","VVS2",61.9,60,2795,5.91,5.86,3.64
"4597",0.7,"Ideal","H","VS2",60.8,56,3656,5.74,5.77,3.5
"1100",0.7,"Very Good","D","VS2",60.7,60,2913,5.72,5.74,3.48
"573",0.61,"Ideal","F","VVS2",61.7,55,2833,5.45,5.48,3.37
"4345",0.72,"Ideal","E","VS2",61.1,56,3601,5.78,5.81,3.54
"1573",0.55,"Premium","D","VVS1",60.3,59,3006,5.34,5.3,3.21
"1539",0.9,"Ideal","I","SI2",62,56,3001,6.16,6.2,3.83
"2483",0.9,"Good","H","SI2",63.6,60,3193,6.11,6.06,3.87
"3507",0.76,"Ideal","E","SI1",61.2,56,3401,5.88,5.91,3.61
"829",0.71,"Very Good","H","VVS1",62.9,57,2867,5.67,5.69,3.57
"2097",0.76,"Ideal","G","VS2",61.7,55,3114,5.86,5.91,3.63
"2754",0.9,"Very Good","H","SI2",59.6,59,3250,6.38,6.24,3.76
"4202",1.01,"Premium","J","SI2",61.8,60,3563,6.41,6.37,3.95
"4497",0.9,"Fair","G","SI1",64.5,57,3629,6.07,6.03,3.9
"4067",0.31,"Good","D","SI1",63.4,55,571,4.28,4.3,2.72
"10",0.23,"Very Good","H","VS1",59.4,61,338,4,4.05,2.39
"804",0.91,"Good","I","VS2",64.3,58,2863,6.05,6.09,3.9
"2593",0.9,"Very Good","F","SI2",62.8,54,3217,6.05,6.15,3.83
"3307",0.73,"Premium","E","VS1",61.2,58,3370,5.77,5.83,3.55
"3052",0.38,"Ideal","G","SI2",62.8,57,566,4.58,4.59,2.88
"516",0.71,"Ideal","E","SI1",60.5,56,2823,5.77,5.73,3.47
"1478",0.75,"Ideal","E","SI1",62.2,57,2985,5.82,5.86,3.63
"3007",0.71,"Ideal","E","VS2",62.5,56,3304,5.69,5.71,3.56
"2642",1.03,"Ideal","H","I1",61.5,57,3230,6.52,6.48,4
"4442",0.9,"Premium","J","VVS1",62,58,3617,6.19,6.11,3.81
"4251",0.78,"Good","E","SI1",59.4,62,3578,6.02,6.07,3.59
"2115",0.9,"Very Good","J","VS2",61.9,59,3119,6.14,6.2,3.82
"1712",0.32,"Premium","G","VS2",60.5,58,561,4.41,4.42,2.67
"2917",0.96,"Very Good","I","SI2",62.7,58,3286,6.2,6.24,3.9
"4298",0.95,"Very Good","E","SI2",58.7,63,3590,6.37,6.43,3.76
"743",0.33,"Ideal","G","SI2",61.9,56,557,4.45,4.41,2.74
"3353",0.7,"Good","G","VVS1",58.5,62,3380,5.8,5.82,3.4
"418",0.36,"Ideal","I","VS2",61.9,56,556,4.54,4.57,2.82
"3683",0.51,"Ideal","D","IF",62.1,55,3446,5.12,5.13,3.19
"1465",0.7,"Ideal","E","VS2",62.2,55,2981,5.67,5.71,3.54
"4976",0.78,"Ideal","D","VS2",62.9,56,3736,5.85,5.88,3.69
"3372",0.32,"Ideal","G","SI2",61.3,56,407,4.44,4.47,2.73
"1858",0.71,"Ideal","F","VS1",62,57,3066,5.7,5.75,3.55
"2727",0.34,"Ideal","E","SI1",61.9,55,565,4.51,4.53,2.8
"1848",0.71,"Very Good","E","VS1",63.3,59,3064,5.64,5.68,3.58
"3753",0.7,"Ideal","D","SI1",61.8,56,3454,5.7,5.72,3.53
"246",0.76,"Premium","E","SI1",60.4,58,2789,5.92,5.94,3.58
"599",0.7,"Premium","F","VS2",61.7,58,2838,5.69,5.63,3.49
"4893",0.72,"Very Good","E","VVS2",62,58,3719,5.71,5.74,3.55
"4959",0.9,"Good","G","SI1",63.2,59,3734,6.05,6.1,3.84
"4962",0.9,"Good","H","VS1",64,59,3734,6.01,6.05,3.86
"3785",0.74,"Premium","E","VS1",61.1,58,3462,5.81,5.84,3.56
"969",0.71,"Very Good","F","VS1",62.6,55,2893,5.66,5.71,3.56
"1924",0.86,"Premium","H","VS2",61.3,59,3082,6.17,6.1,3.76
"299",1.01,"Fair","E","SI2",67.4,60,2797,6.19,6.05,4.13
"3080",0.9,"Premium","D","SI2",61,61,3312,6.17,6.15,3.76
"1447",0.77,"Premium","E","SI1",60.4,58,2975,6,5.88,3.59
"3035",0.41,"Good","J","VS2",64,59,565,4.64,4.71,2.99
"749",0.33,"Good","I","SI1",63.6,53,557,4.43,4.4,2.81
"4834",0.92,"Very Good","D","SI2",63.7,57,3707,6.12,6.21,3.93
"1307",0.7,"Very Good","F","VS2",62.4,57,2956,5.67,5.71,3.55
"1973",0.72,"Ideal","E","VS2",60.8,57,3091,5.79,5.82,3.53
"422",0.7,"Very Good","F","VS2",60.9,61,2812,5.66,5.71,3.46
"3347",0.62,"Ideal","G","IF",60.3,57,3378,5.54,5.61,3.35
"4827",0.9,"Premium","F","SI2",62,61,3704,6.16,6.14,3.81
"153",0.71,"Premium","D","VS2",62.5,60,2770,5.65,5.61,3.52
